#no ix-loc:i ix-1p think ix-1p think boat boat boat concept vehicle concept boat concept vehicle concept vehicle concept vehicle concept vehicle concept vehicle boat boat boat boat boat boat boat boat boat boat boat boat boat boat boat boat boat boat boat boat boat boat boat boat concept boat concept boat concept boat concept boat concept boat concept boat concept boat boat boat concept boat boat boat boat vehicle boat vehicle boat wave ix-3p:i wave wave wave concept wave wave wave wave wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept
mother ix-loc:i who who who disregard ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i who ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i who ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i who ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i who ix-3p:i who ix-3p:i ix-3p:i ix-3p:i who ix-3p:i ix-3p:i ix-3p:i who ix-3p:i ix-3p:i ix-3p:i who ix-3p:i who ix-3p:i who ix-3p:i who ix-3p:i who ix-3p:i who ix-3p:i who who who who who who who who who who who who who who who who who who who who who who who who who who buy buy buy buy buy buy buy buy buy buy buy buy buy buy buy buy buy buy buy buy buy buy buy buy buy buy buy buy buy buy buy buy buy buy buy buy buy buy buy buy buy buy buy buy buy buy ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i who who buy who buy ix-3p:i ix-3p:i who who buy ix-3p:i ix-3p:i ix-3p:i who who buy ix-3p:i ix-3p:i who who buy ix-3p:i ix-3p:i who who buy ix-3p:i ix-3p:i who who buy ix-3p:i ix-3p:i who who buy ix-3p:i ix-3p:i who who buy ix-3p:i ix-3p:i who who buy ix-3p:i ix-3p:i who who buy ix-3p:i ix-3p:i who who buy who buy who buy ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i
john ix-loc:i none/nothing father father car part:indef none/nothing ix-3p:i none/nothing none/nothing none/nothing ix-3p:i none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing ix-loc:i none/nothing ix-loc:i none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing
ix-3p:i ix-loc:i not ix-2p ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i
mother ix-loc:i car buy ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j qmwg ix-3p:j finger ix-3p:i who ix-3p:i who ix-3p:i who ix-3p:i who ix-3p:i who ix-3p:i who ix-3p:i who ix-3p:i who ix-3p:i who ix-3p:i who ix-3p:i who who who ix-3p:i who ix-3p:i who ix-3p:i who ix-3p:i who ix-3p:i who ix-3p:i who ix-3p:i who ix-3p:i who ix-3p:i who ix-3p:i who ix-3p:i who ix-3p:i who ix-3p:i who ix-3p:i who ix-3p:i who ix-3p:i who ix-3p:i who ix-3p:i who ix-3p:i who ix-3p:i who ix-3p:i who ix-3p:i who ix-3p:i who ix-3p:i who ix-3p:i who ix-3p:i who ix-3p:i who ix-3p:i who ix-3p:i who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who ix-3p:i
ix-2p ix-loc:i ix-1p drive drive ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j ix-3p:j
john ix-loc:i none/nothing vegetable+agent class_2+box/room class_2+box/room ix-3p:i door door door door door door door door door door door door door door door door ix-3p:i door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door ix-3p:i door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door
father ix-loc:i have pineapple ix-3p:j qmwg ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-loc:i ix-3p:i ix-loc:i ix-3p:i ix-loc:i ix-3p:i ix-loc:i ix-3p:i none/nothing ix-3p:i none/nothing ix-3p:i none/nothing ix-3p:i want ix-3p:i none/nothing ix-3p:i want ix-3p:i none/nothing ix-3p:i want ix-3p:i none/nothing ix-3p:i want ix-3p:i none/nothing ix-3p:i want ix-3p:i none/nothing ix-3p:i want ix-3p:i none/nothing ix-3p:i want ix-3p:i none/nothing ix-3p:i want ix-3p:i none/nothing ix-3p:i want ix-3p:i none/nothing ix-3p:i want ix-3p:i none/nothing ix-3p:i want ix-3p:i none/nothing ix-3p:i want ix-3p:i none/nothing ix-3p:i none/nothing ix-3p:i want ix-3p:i none/nothing ix-3p:i want ix-3p:i none/nothing ix-3p:i none/nothing ix-3p:i want ix-3p:i none/nothing ix-3p:i none/nothing ix-3p:i want ix-3p:i none/nothing ix-3p:i want ix-3p:i none/nothing ix-3p:i none/nothing none/nothing want none/nothing none/nothing ix-3p:i none/nothing none/nothing want none/nothing none/nothing ix-3p:i none/nothing none/nothing want none/nothing none/nothing ix-3p:i none/nothing none/nothing want none/nothing none/nothing ix-3p:i none/nothing ix-3p:i none/nothing none/nothing want none/nothing none/nothing ix-3p:i none/nothing none/nothing want none/nothing none/nothing ix-3p:i none/nothing none/nothing want none/nothing none/nothing ix-3p:i none/nothing none/nothing want none/nothing none/nothing ix-3p:i none/nothing none/nothing want none/nothing none/nothing ix-3p:i none/nothing none/nothing want none/nothing none/nothing ix-3p:i none/nothing none/nothing want none/nothing none/nothing ix-3p:i none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing want none/nothing none/nothing ix-3p:i none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing want none/nothing none/nothing ix-3p:i none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing
mother ix-loc:i buy blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i who who who ix-3p:i who ix-3p:i who ix-3p:i who ix-3p:i who ix-3p:i who ix-3p:i who ix-3p:i who ix-3p:i who ix-3p:i who ix-3p:i who ix-3p:i who ix-3p:i who ix-3p:i who ix-3p:i who ix-3p:i who ix-3p:i who ix-3p:i who ix-3p:i who ix-3p:i who ix-3p:i who ix-3p:i who ix-3p:i who ix-3p:i who ix-3p:i who ix-3p:i who ix-3p:i who ix-3p:i who ix-3p:i who ix-3p:i who ix-3p:i who ix-3p:i who ix-3p:i who ix-3p:i who ix-3p:i who ix-3p:i who ix-3p:i who ix-3p:i who ix-3p:i who ix-3p:i who ix-3p:i who ix-3p:i who ix-3p:i who ix-3p:i who ix-3p:i who ix-3p:i who ix-3p:i who ix-3p:i who ix-3p:i who ix-3p:i who ix-3p:i who ix-3p:i who ix-3p:i who ix-3p:i who ix-3p:i who ix-3p:i who ix-3p:i who ix-3p:i who ix-3p:i who ix-3p:i who ix-3p:i who ix-3p:i who ix-3p:i who ix-3p:i who ix-3p:i who ix-3p:i who ix-3p:i who ix-3p:i who ix-3p:i who ix-3p:i who ix-3p:i who ix-3p:i who ix-3p:i who ix-3p:i who ix-3p:i who ix-3p:i who ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i
mother ix-loc:i ix-loc:i ix-loc:i blue+berry blue+berry blue+berry blue+berry blue+berry qmwg ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i who ix-3p:i who who who ix-3p:i who ix-3p:i who ix-3p:i who ix-3p:i who ix-3p:i who ix-3p:i who ix-3p:i who ix-3p:i who ix-3p:i who ix-3p:i who ix-3p:i who ix-3p:i who ix-3p:i who ix-3p:i who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who
ix-2p ix-loc:i go mary ix-3p:j really chocolate time ix-3p:j time water time ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i open open open ix-3p:i ix-3p:i ix-3p:i open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open
ix-3p:i ix-loc:i buy buy buy ix-3p:i ix-3p:i ix-3p:i ix-3p:i open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open
john ix-loc:i finish finish qmwg qmwg qmwg ix-loc:i ix-3p:i ix-loc:i coffin ix-loc:i coffin prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying open prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying coffin prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying open prying prying prying open prying prying prying open prying prying prying open prying prying prying open prying prying prying open prying prying prying open prying prying prying open prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying
ix-2p ix-loc:i go mary ix-3p:j really chocolate time ix-3p:j time water time ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i open open open ix-3p:i ix-3p:i ix-3p:i open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open open
now ix-loc:i finish finish finish qmwg qmwg qmwg ix-loc:i coffin ix-3p:i ix-3p:i ix-loc:i prying prying prying ix-loc:i prying prying prying prying prying prying prying ix-3p:i prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying open prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying prying
ix-2p ix-loc:i none/nothing car none/nothing buoy buoy buoy buoy two two ix-3p:i really really ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i
